
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
014b     324c     324c     0000000c     00     00000     00003001     0     00000000     0     00000000
014c     3250     3250     1600fffa     00     00000     00030001     0     00000000     0     00000000
014d     323c     323c     00108100     00     00000     00030001     1     00300000     0     00000000
014e     3240     3240     02149825     00     00000     00030001     1     00300001     0     00000000
014f     3244     3244     00132020     00     00000     00030001     1     00300001     0     00000000
0150     3248     3248     20020022     00     00000     00030001     1     00000022     0     00000000
0151     324c     324c     0000000c     00     00000     00030001     0     00000000     0     00000000
0152     3250     3250     1600fffa     00     00000     00300001     0     00000000     0     00000000
0153     323c     323c     00108100     00     00000     00300001     1     03000000     0     00000000
0154     3240     3240     02149825     00     00000     00300001     1     03000001     0     00000000
0155     3244     3244     00132020     00     00000     00300001     1     03000001     0     00000000
0156     3248     3248     20020022     00     00000     00300001     1     00000022     0     00000000
0157     324c     324c     0000000c     00     00000     00300001     0     00000000     0     00000000
0158     3250     3250     1600fffa     00     00000     03000001     0     00000000     0     00000000
0159     323c     323c     00108100     00     00000     03000001     1     30000000     0     00000000
015a     3240     3240     02149825     00     00000     03000001     1     30000001     0     00000000
015b     3244     3244     00132020     00     00000     03000001     1     30000001     0     00000000
015c     3248     3248     20020022     00     00000     03000001     1     00000022     0     00000000
015d     324c     324c     0000000c     00     00000     03000001     0     00000000     0     00000000
015e     3250     3250     1600fffa     00     00000     30000001     0     00000000     0     00000000
015f     323c     323c     00108100     00     00000     30000001     1     00000000     0     00000000
0160     3240     3240     02149825     00     00000     30000001     1     00000001     0     00000000
0161     3244     3244     00132020     00     00000     30000001     1     00000001     0     00000000
0162     3248     3248     20020022     00     00000     30000001     1     00000022     0     00000000
0163     324c     324c     0000000c     00     00000     30000001     0     00000000     0     00000000
0164     3250     3250     1600fffa     00     00000     00000001     0     00000000     0     00000000
0165     3254     3254     0295a022     00     00000     00000001     1     00000000     0     00000000
0166     3258     3258     1680fff7     00     00000     00000001     0     00000000     0     00000000
0167     325c     325c     23bdfffc     00     00000     00000001     1     000007e8     0     00000000
0168     3260     3260     8fb60000     00     00000     00000001     1     00000000     0     00000000
0169     3264     3264     23bdfffc     00     00000     00000001     1     000007e4     0     00000000
016a     3268     3268     8fb50000     00     00000     00000001     1     00000000     0     00000000
016b     326c     326c     23bdfffc     00     00000     00000001     1     000007e0     0     00000000
