CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
016b     31b8     31b8     1600fffa     00     00000     02000001     0     00000000     0     00000000
016c     31a4     31a4     00108100     00     00000     02000001     1     20000000     0     00000000
016d     31a8     31a8     02149825     00     00000     02000001     1     20000001     0     00000000
016e     31ac     31ac     00132020     00     00000     02000001     1     20000001     0     00000000
016f     31b0     31b0     20020022     00     00000     02000001     1     00000022     0     00000000
0170     31b4     31b4     0000000c     00     00000     02000001     0     00000000     0     00000000
0171     31b8     31b8     1600fffa     00     00000     20000001     0     00000000     0     00000000
0172     31a4     31a4     00108100     00     00000     20000001     1     00000000     0     00000000
0173     31a8     31a8     02149825     00     00000     20000001     1     00000001     0     00000000
0174     31ac     31ac     00132020     00     00000     20000001     1     00000001     0     00000000
0175     31b0     31b0     20020022     00     00000     20000001     1     00000022     0     00000000
0176     31b4     31b4     0000000c     00     00000     20000001     0     00000000     0     00000000
0177     31b8     31b8     1600fffa     00     00000     00000001     0     00000000     0     00000000
0178     31bc     31bc     0295a022     00     00000     00000001     1     00000000     0     00000000
0179     31c0     31c0     1680fff7     00     00000     00000001     0     00000000     0     00000000
017a     31c4     31c4     40800000     00     00000     00000001     0     00000000     0     00000000
017b     31c8     31c8     23bdfffc     00     00000     00000001     1     00000804     0     00000000
017c     31cc     31cc     8fb60000     00     00000     00000001     1     00000001     0     00000000
